country_name,gold,silver,bronze,total
United States,46,28,30,104
China,38,31,22,91
United Kingdom,29,17,19,65
Russia,20,20,28,68
South Korea,13,9,8,30
Germany,11,20,13,44
France,11,11,13,35
Australia,8,15,12,35
Italy,8,9,11,28
Hungary,8,4,6,18
Japan,7,14,17,38
Iran,7,5,1,13
Netherlands,6,6,8,20
New Zealand,6,2,5,13
Ukraine,5,4,10,19
Cuba,5,3,7,15
Spain,4,10,4,18
Jamaica,4,5,3,12
Czech Republic,4,3,4,11
South Africa,4,1,1,6
North Korea,4,0,2,6
Brazil,3,5,9,17
Poland,3,2,6,11
Ethiopia,3,2,3,8
Kazakhstan,3,1,7,11
Croatia,3,1,2,6
Canada,2,5,11,18
Belarus,2,5,3,10
Romania,2,5,2,9
Kenya,2,4,7,13
Denmark,2,4,3,9
Azerbaijan,2,2,5,9
Switzerland,2,2,0,4
Norway,2,1,1,4
Lithuania,2,0,3,5
Tunisia,2,0,1,3
Sweden,1,4,3,8
Colombia,1,3,4,8
Mexico,1,3,4,8
Georgia,1,2,3,6
Ireland,1,1,4,6
Argentina,1,1,2,4
Serbia,1,1,2,4
Slovenia,1,1,2,4
Trinidad and Tobago,1,1,2,4
Turkey,1,1,1,3
Dominican Republic,1,1,0,2
Chinese Taipei,1,0,1,2
Latvia,1,0,1,2
Algeria,1,0,0,1
Bahamas,1,0,0,1
Bahrain,1,0,0,1
Grenada,1,0,0,1
Uganda,1,0,0,1
Venezuela,1,0,0,1
Egypt,0,3,1,4
India,0,2,4,6
Mongolia,0,2,3,5
Thailand,0,2,2,4
Bulgaria,0,2,1,3
Finland,0,2,1,3
Indonesia,0,2,1,3
Slovakia,0,1,3,4
Belgium,0,1,2,3
Armenia,0,1,1,2
Estonia,0,1,1,2
Malaysia,0,1,1,2
Puerto Rico,0,1,1,2
Botswana,0,1,0,1
Cyprus,0,1,0,1
Gabon,0,1,0,1
Guatemala,0,1,0,1
Montenegro,0,1,0,1
Portugal,0,1,0,1
Uzbekistan,0,0,3,3
Greece,0,0,2,2
Qatar,0,0,2,2
Singapore,0,0,2,2
Afghanistan,0,0,1,1
Cameroon,0,0,1,1
Hong Kong,0,0,1,1
Kuwait,0,0,1,1
Morocco,0,0,1,1
Saudi Arabia,0,0,1,1
Tajikistan,0,0,1,1
Vietnam,0,0,1,1
